OBJECTID,CSA2010,abshs10,abshs11,abshs12,abshs13,abshs14,abshs15,abshs16,abshs17,abshs19,Shape__Area,Shape__Length
37,Morrell Park/Violetville,26.44231,39.655172,40.6114,38.1579,35.7447,36.986301,37.823834,53.521127,55,67470845.9886475,44412.7451302931
38,Mount Washington/Coldspring,10.34483,14.117647,13.7931,14.1176,9.589,10,7.1428571,12.987013,16.1290322580645,56943058.6503296,38539.7661484923
39,North Baltimore/Guilford/Homeland,20,18,21,22.8814,17.0213,16.312057,15.068493,18.902439,17.6470588235294,74923987.6934814,42904.2221443837
40,Northwood,28.68526,30.633284,28.4497,26.7273,29.7445,33.268859,25.049702,42.540323,37.1541501976284,52743271.7687378,38889.8945910241
41,Oldtown/Middle East,47.17949,54.506438,52.5463,46.0352,48.2301,48.430493,48.198198,58.629442,59.7260273972602,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,42.50871,47.619048,46.1783,41.6667,38.9333,43.005181,42.964824,56.941176,56.3674321503131,89894372.2116089,47825.8629265765
43,Patterson Park North & East,46.05873,49.707602,47.4438,41.4953,43.7722,46.240602,41.952984,59.132007,61.6336633663366,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,43.92679,51.630435,48.2828,41.8605,49.7797,44.768856,40.931373,57.925072,56.9131832797427,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,45.09804,44.428969,41.9304,39.0863,46.3636,45.009074,37.342908,58.455882,50.625,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,50.16722,45.901639,46.5517,39.8601,49.4024,48.760331,46.255507,58.158996,65.4970760233918,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,41.90045,51.298701,49.284,43.4227,46.0916,48.106592,43.884892,63.815789,56.6243194192377,23672092.8682861,20987.1433066415
48,South Baltimore,42.10526,34.920635,33.3333,27.2727,36,31.25,33.333333,34.375,25.5813953488372,46353935.4257813,68440.0258267645
49,Southeastern,33.89121,49.748744,47.7011,43.1818,44.9198,37.142857,37.552743,50,62.890625,111251478.473083,102291.480547452
50,Southern Park Heights,47.05189,45.028409,45.3313,39.9421,43.5535,45.33107,40.766551,58.383838,54.6184738955823,27876227.5906372,24052.2213722085
51,Southwest Baltimore,43.58752,57.838364,52.0635,44.2586,46.62,47.65343,46.845794,62.767296,61.8181818181818,37766068.8372192,28355.5635813649
52,The Waverlies,39.74359,43.192488,38.2278,37.9135,38.0952,37.741935,36.754967,50.859107,52.0766773162939,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,49.84177,55.052265,51.5654,41.9048,46.0405,46.363636,45.596869,65.044248,61.8055555555555,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,39.31624,47.488584,41.3793,35.2941,47.5,41.293532,46.153846,58.579882,52.1739130434782,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,38.95216,45.3125,42.4403,38.0435,37.1191,36.956522,41.176471,58.600583,58.6466165413533,45494092.9492188,42573.1244161893
