OBJECTID,CSA2010,hstud10,hstud11,hstud12,hstud13,hstud14,hstud15,hstud16,hstud17,hstud19,hstud20,Shape__Area,Shape__Length
39,North Baltimore/Guilford/Homeland,1.195219,2.03,1.89,3.75,4.05,3.3688,2.0478,1.986755,3.77358490566037,5.21739130434782,74923987.6934814,42904.2221443837
40,Northwood,0.44843,0.69,0.86,1.47,1.81,1.5995,1.859,2.133161,1.66223404255319,1.42857142857142,52743271.7687378,38889.8945910241
41,Oldtown/Middle East,0.504767,1.25,1.83,1.92,2.2,3.0284,3.8913,5.2631579,6.18479880774962,5.59157212317666,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,34.63282,43.4,48.01,53.85,56.63,61.7978,67.6562,72.112676,78.1115879828326,83.1950207468879,89894372.2116089,47825.8629265765
43,Patterson Park North & East,14.85104,19.11,22.1,26.78,30.54,34.2814,37.598,40.420082,42.7842565597667,50.5873715124816,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,0.238379,0.6,0.61,0.83,1.05,1.0695,1.7228,1.8814675,2.63713080168776,2.58064516129032,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,0.326493,0.53,0.67,0.9,0.71,1.1561,1.4697,1.5738499,1.91625266146202,3.36134453781512,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,0.480307,1.18,1,1.04,1.14,1.5682,2.0833,2.9515939,2.59938837920489,3.27868852459016,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,0.062775,0.47,0.58,1.01,0.82,1.3406,1.0989,1.6034985,2.06358059118795,2.19646125686394,23672092.8682861,20987.1433066415
48,South Baltimore,3.896104,5.43,2.86,2.12,2.73,1.5038,3.0534,2,3.63636363636363,6.4625850340136,46353935.4257813,68440.0258267645
49,Southeastern,22.19599,24.42,26.3,28.43,30.19,34.8552,38.6293,49.294355,53.9651837524178,60.9184629803186,111251478.473083,102291.480547452
50,Southern Park Heights,0.467091,0.64,0.93,1.34,1.77,2,2.2808,2.1978022,3.00480769230769,3.7359900373599,27876227.5906372,24052.2213722085
51,Southwest Baltimore,2.285424,3.04,3.46,3.94,4.24,4.8321,5.6107,6.3479924,8.74035989717223,10.7976125881714,37766068.8372192,28355.5635813649
52,The Waverlies,1.380368,2.02,2.59,2.99,3.06,3.4915,4.529,6.7156348,7.98650168728908,9.31372549019607,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,0.097276,0.46,0.59,1,1.11,1.3022,1.1043622,1.3011152,1.67000668002672,1.19205298013245,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,1.133501,2.06,2.62,2.6506024,3.085554,2.4853801,3.4848485,5.9566787,7.28597449908925,7.07635009310986,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,9.947249,14.22,17.038928,17.791798,19.797688,23.082287,26.94782,33.156699,41.1723163841807,45.7337883959044,45494092.9492188,42573.1244161893
