OBJECTID,CSA2010,compl10,compl11,compl12,compl13,compl14,compl15,compl16,compl17,compl19,compl20,Shape__Area,Shape__Length
40,Northwood,78.28571,79.66,84.31373,71.94245,84.444444,81.25,84.552846,76.859504,78.1512605042016,74.5901639344262,52743271.4466553,38889.8927781349
41,Oldtown/Middle East,67.01031,76.04,81.18812,77.64706,79.120879,70.37037,73.195876,70.12987,75.6410256410256,69.7368421052631,24585968.6329346,23866.3283754834
42,Orangeville/East Highlandtown,72.05882,69.49,67.21311,81.13208,81.967213,76.811594,81.428571,72.60274,91.3793103448275,85.3658536585365,89894371.6797485,47825.8622911077
43,Patterson Park North & East,70.73171,81.55,72.52747,72.11538,81.395349,77.358491,74.157303,75.490196,73.170731707317,85.1851851851851,14507643.1196289,21786.3746522289
44,Penn North/Reservoir Hill,72.72727,80.31,71.2963,75.39683,78.095238,72.631579,74.074074,82.666667,76.1363636363636,75,41059796.8271484,29078.8387462975
45,Pimlico/Arlington/Hilltop,80.37975,85.16,86.82171,83.78378,76.744186,76.744186,77.5,73.684211,81.8181818181818,81.1320754716981,30400962.137207,24725.9335761882
46,Poppleton/The Terraces/Hollins Market,75,77.42,76.19048,84.12698,76.363636,77.04918,66.666667,72.222222,64,66.6666666666666,9302012.75500488,12334.0275788672
47,Sandtown-Winchester/Harlem Park,75.4902,73.45,80.51948,77.21519,77.419355,75.177305,73.643411,76.923077,78.0487804878048,81.0126582278481,23672093.0319824,20987.1444438245
48,South Baltimore,87.5,81.82,84.21053,75,90.909091,76.923077,88.888889,83.333333,83.3333333333333,100,46353935.439209,68440.0250258035
49,Southeastern,81.39535,82,75.75758,82.35294,72.727273,82.857143,70.731707,65.957447,77.7777777777777,83.3333333333333,111251477.670959,102291.480853694
50,Southern Park Heights,81.3253,70.47,82.09877,76.51007,80.689655,81.034483,78.125,78.571429,72.8155339805825,72.2772277227722,27876227.3728027,24052.2213294409
51,Southwest Baltimore,71.71717,80.93,76.23762,74.75728,74.213836,66.863905,70.700637,75.151515,67.6923076923077,67.7631578947368,37766068.6594238,28355.5624262432
52,The Waverlies,75.5814,82.52,77.64706,78.82353,78.75,81.012658,76.623377,75.438596,79.0322580645161,80,20383750.6295166,18733.8272074469
53,Upton/Druid Heights,76.19048,79.51,75.67568,71.02804,73.584906,81.981982,73.684211,77.142857,63.6363636363636,76.5306122448979,16976621.6553345,19389.3077930782
54,Washington Village/Pigtown,77.41935,79.25,75,79.54545,91.891892,81.395349,76.923077,74.285714,81.8181818181818,80,39343261.6097412,36962.258768959
55,Westport/Mount Winans/Lakeland,80.51948,83.1,77.38095,76.54321,75,69.84127,75.362319,77.631579,69.6969696969697,76.4705882352941,45494092.673645,42573.1244628949
