OBJECTID,CSA2010,aastud10,aastud11,aastud12,aastud13,aastud14,aastud15,aastud16,aastud17,aastud19,aastud20,Shape__Area,Shape__Length
40,Northwood,96.1136,97.75,97.16,96.67,96.19,96.42,96.28,95.087266,95.4787234042553,95.5194805194805,52743271.7687378,38889.8945910241
41,Oldtown/Middle East,96.91531,97.45,96.73,96.65,96.44,95.86,94.26,93.092105,91.50521609538,91.8962722852512,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,25.11333,27.14,25.73,22.24,21.15,18.9,16.02,15.887324,12.1781115879828,9.80290456431535,89894372.2116089,47825.8629265765
43,Patterson Park North & East,74.52201,70.34,66.7,63.39,61.07,57.34,52.5,50.409836,49.271137026239,41.7767988252569,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,97.6758,98.24,98.23,97.39,97.05,97.02,96.01,95.296331,94.7257383966244,94.6236559139785,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,98.41418,97.77,97.86,97.61,97.69,97.11,97.06,96.912833,96.3804116394606,95.2635599694423,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,95.86936,95.38,95.78,96.67,96.32,96.26,95.83,94.923259,94.8012232415902,94.7176684881602,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,98.30508,98.82,98.7,98.43,98.61,97.86,97.89,97.084548,95.9286112660345,95.4240390482001,23672092.8682861,20987.1433066415
48,South Baltimore,11.03896,7.35,8.89,8.18,7.03,7.14,8.4,8.4,8.72727272727272,10.5442176870748,46353935.4257813,68440.0258267645
49,Southeastern,53.95514,52.31,50.94,48.81,48.18,47.33,44.03,36.491935,33.4622823984526,28.7722586691658,111251478.473083,102291.480547452
50,Southern Park Heights,97.83439,98.5,97.91,97.27,96.72,96.72,96.15,96.356275,95.0721153846153,94.5205479452054,27876227.5906372,24052.2213722085
51,Southwest Baltimore,86.1097,84.97,85.06,84.36,84.42,84.1,83.85,82.829828,82.5706940874036,80.4666304937601,37766068.8372192,28355.5635813649
52,The Waverlies,95.09202,93.08,93.6,92.83,92.31,92.12,90.4,87.932844,85.9392575928009,84.5588235294117,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,98.3463,98.17,98.35,97.812649,98,97.721107,97.736057,97.335812,97.7287909151636,97.7483443708609,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,75.6927,76.61,77.02,77.831325,76.16,78.070175,77.575758,71.841155,74.1347905282331,75.2327746741154,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,82.36624,77.38,74.7288,73.62776,72.69,69.316597,64.974982,60.408781,53.4604519774011,49.8976109215017,45494092.9492188,42573.1244161893
