OBJECTID,CSA2010,absmd10,absmd11,absmd12,absmd13,absmd14,absmd15,absmd16,absmd17,absmd19,Shape__Area,Shape__Length
37,Morrell Park/Violetville,19.84127,15.062762,16.5289,21.2766,22.5296,27.7344,21.6535,23.111111,25.4032258064516,67470845.9886475,44412.7451302931
38,Mount Washington/Coldspring,6.097561,6.1728395,6.0976,4.6154,4,10.4651,8.6538,2.247191,13,56943058.6503296,38539.7661484923
39,North Baltimore/Guilford/Homeland,4.545455,5.4054054,3.6364,8.8435,6.993,8.3333,7.3529,5.3030303,3.1055900621118,74923987.6934814,42904.2221443837
40,Northwood,13.39286,12.436548,9.6591,7.2423,9.3407,14.7399,9.9707,12.362637,14.8459383753501,52743271.7687378,38889.8945910241
41,Oldtown/Middle East,29.50311,25.284091,13.7427,15.7143,15.015,16.6197,16.6667,25.824176,28.2383419689119,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,21.37405,19.047619,19.2,13.1783,13.5135,13.5593,9.8404,15.776699,17.016806722689,89894372.2116089,47825.8629265765
43,Patterson Park North & East,21.5415,22.222222,23.2673,15.0106,16.2933,17.732,15.6863,19.955654,27.4626865671641,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,17.45562,20.057307,19.4286,15.4971,14.5455,16.3333,21.6312,26.293103,26.6666666666666,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,13.11828,17.23356,10.6818,12.9717,17.1558,20.4036,19.6833,21.395349,27.8735632183908,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,21.18644,18.811881,22.2222,23.4043,27.6836,24.5989,21.8543,26.442308,26.8156424581005,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,18.31442,19.659735,15.4955,14.7005,15.7143,16.458,20.3636,19.665272,34.3209876543209,23672092.8682861,20987.1433066415
48,South Baltimore,27.27273,20.37037,21.875,16.3636,20,16.9811,7.2727,11.111111,14.8648648648648,46353935.4257813,68440.0258267645
49,Southeastern,10.41667,12.804878,5.4217,5.0279,7.5676,10.5023,13.4884,16.317992,18.4563758389261,111251478.473083,102291.480547452
50,Southern Park Heights,14.52282,18.918919,13.4884,18.2222,18.1619,23.4763,22.3214,22.249389,26.2180974477958,27876227.5906372,24052.2213722085
51,Southwest Baltimore,20.0492,21.745562,20.8075,17.3601,20.4906,21.261,25.4573,30.940171,41.2017167381974,37766068.8372192,28355.5635813649
52,The Waverlies,13.02817,19.434629,13.1086,8.0153,15.1751,15.4982,15.7706,22.131148,22.9268292682926,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,22.3301,15.815085,22.1675,21.0256,18.7032,27.182,23.389,27.295285,37.0967741935483,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,16.86047,29.012346,23.6364,28.9017,21.25,24.183,22.142857,20.325203,22.5352112676056,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,18,14.666667,14.8649,16.0494,17.8161,22.5,19.834711,20.710059,13.6612021857923,45494092.9492188,42573.1244161893
