OBJECTID,CSA2010,dirtyst10,dirtyst11,dirtyst12,dirtyst13,dirtyst14,dirtyst15,dirtyst16,dirtyst17,dirtyst18,dirtyst19,CSA2020,dirtyst20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,41.68465191,41.0063513596843,48.0976752790282,36.9982117530986,34.4083369303817,54.8190170808411,50.9342048467657,60.3070851575507,31.510143676389,78.80619103,Allendale/Irvington/S. Hilton,77.8257350957648,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,10.518591,12.2309197651663,13.8617090671885,10.1924331376386,13.9432485322896,16.2263535551207,10.9262883235486,18.2648401826484,17.938682322244,28.53881279,Beechfield/Ten Hills/West Hills,24.1661838947281,47882527.7110596,37524.9505334171
3,Belair-Edison,90.20440974,66.3183279742765,79.0652273771245,65.9163987138264,64.4235186035829,103.640330730363,74.9310978410657,76.4239779513091,58.6242535599449,85.15158475,Belair-Edison,74.776267815711,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,91.48353577,112.055044583304,82.8477146668539,65.997332022748,81.3733061854946,91.0622762058555,71.0524468159798,82.2860352453837,63.6804044091835,160.4296848,Brooklyn/Curtis Bay/Hawkins Point,108.316640700349,176077742.748718,150987.703638771
5,Canton,32.83950617,38.5185185185185,38.2716049382716,43.7037037037037,47.9012345679012,49.5061728395062,46.5432098765432,42.5925925925926,38.0246913580247,42.71604938,Canton,36.2908119917466,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,22.49862037,24.1541792248589,24.3239801332937,17.7866451585516,17.7866451585516,23.984378316424,18.2535976567475,19.060151971813,13.4567219934627,24.62113172,Cedonia/Frankford,18.6595413048319,71541340.3063965,39962.5498347166
7,Cherry Hill,11.70446233,12.6798341867837,7.19336747134845,7.19336747134845,8.16873933187028,9.38795415752256,8.04681784930505,13.5332845647403,8.04681784930505,13.2894416,Cherry Hill,15.0747065101387,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,26.30221764,32.1041774110366,47.3182052604435,25.5286230015472,19.2109334708613,28.4940691077875,19.5977307890665,23.5946364105209,16.2454873646209,26.1732852,Chinquapin Park/Belvedere,23.4104446599252,21022590.1307373,21705.411630344
9,Claremont/Armistead,8.139958693,12.6351597618758,17.1303608310047,16.2799173854939,15.7939497023448,16.2799173854939,11.2987486332159,21.2610861377718,11.1772567124286,22.35451342,Orchard Ridge/Armistead,16.9902912621359,61243774.4211426,40104.415980189
10,Clifton-Berea,167.2068058,171.865505367632,167.713186145432,107.656471541422,126.898926473567,168.118290459793,139.963540611708,167.206805752481,105.124569576666,155.7626089,Clifton-Berea,193.744225946945,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,3.299063986,8.82307810342182,6.90501764615621,3.52923124136873,3.60595365965935,4.98695718889059,2.45511738529998,3.14561914991561,2.30167254871874,6.061071045,Cross-Country/Cheswolde,3.78415197154318,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,3.169958547,3.16995854669593,7.55913191904414,3.9014874420873,3.9014874420873,8.77834674469642,2.1945866861741,8.77834674469642,11.216776396001,9.266032675,Dickeyville/Franklintown,7.08061002178649,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,33.93857119,40.0475139996606,36.9930425929068,29.0174783641609,28.9326319361955,36.6536568810453,22.6539962667572,28.5083997963686,25.9630069574071,40.89597828,Dorchester/Ashburton,32.8512594579063,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,31.17258464,43.7654830718415,38.7837418554142,39.8696866273658,41.1107663667391,57.5550729134347,29.7859137449581,60.6577722618678,41.4210363015824,90.90909091,Downtown/Seton Hill,50.1693480101609,20736554.4064941,21565.859394559
15,Edmondson Village,41.39240506,35.6962025316456,34.9367088607595,38.4810126582278,31.7721518987342,33.4177215189873,31.2658227848101,43.0379746835443,29.873417721519,52.27848101,Edmondson Village,36.3738897504582,23563061.0443115,21504.551357829
16,Fells Point,49.67363646,41.4868901427149,53.3244827967696,56.5328023011395,48.7885828078327,53.4351145038168,56.311538887045,72.3531364088948,39.0529925876756,53.4351145,Fells Point,26.8847527730776,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,40.51172708,53.1018377500254,54.3202355569093,41.7301248857752,35.2320032490608,49.0405117270789,33.6074728398822,53.9141029546147,35.8412021525028,60.00609199,Forest Park/Walbrook,49.6499045194144,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,26.01582406,24.5407000134102,33.4584953734746,18.1708461847928,16.6286710473381,21.0540431809039,13.2761164006973,18.5061016494569,15.4217513745474,24.80890439,Glen-Fallstaff,27.0400772573636,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,56.67744494,56.7994631200049,62.351290342261,69.3673357330242,52.8338722469648,86.083826490147,54.6641449575987,71.6246720761393,72.6618266121652,76.20035385,Greater Charles Village/Barclay,53.3522190745987,27051213.4559937,26454.2692113332
20,Greater Govans,46.34397528,51.2124332927629,69.9372717910308,43.816122085947,40.6328995412415,58.140623537122,37.3560528040446,57.859750959648,26.4956464750492,52.4295478,Greater Govans,45.8667778588554,22698495.7178955,22982.125714974
21,Greater Mondawmin,90.64578417,94.5076163913323,135.485947221626,81.9566616605879,65.9729671744261,67.7966101694915,55.8892941428878,76.7002789101051,65.8656940570693,101.9094615,Greater Mondawmin,77.9115536003705,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,12.74230717,13.0134200894673,13.0134200894673,7.45560525959062,12.2000813338756,9.08228277077403,6.10004066693778,16.9445574081605,9.48895214856988,14.91121052,Greater Roland Park/Poplar Hill,8.10105725662502,56688145.1790161,39862.7497953117
23,Greater Rosemont,114.4400021,93.9820343735396,105.249493743185,76.5875694480503,76.1202554649774,79.2876057946934,67.6047562178722,84.1684407290098,62.5162261799678,120.2035412,Greater Rosemont,88.0190741108683,42204384.5406494,32559.0762211492
