OBJECTID,CSA2010,abse10,abse11,abse12,abse13,abse14,abse15,abse16,abse17,abse19,Shape__Area,Shape__Length
42,Orangeville/East Highlandtown,10.49107,13.49481,13.0363,11.9155,11.7403,7.8913,7.9478,12.046908,17.7117711771177,89894372.2116089,47825.8629265765
43,Patterson Park North & East,10.43011,13.389626,10.52,10.3632,14.7027,12.766,9.7276,15.506329,18.0094786729857,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,10.72027,18.195719,15.015,14.3939,14.3526,20.2341,18.7394,19.628099,26.1964735516372,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,13.27649,14.216867,9.883,12.5,15.1079,14.734,17.9487,21.386431,28.2271944922547,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,14.11192,27.777778,19.1429,21.49,23.8227,25,20.5128,30.25,26.3157894736842,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,13.68243,21.834862,14.0794,13.0167,18.75,18.2063,20.7767,22.633745,37.8733572281959,23672092.8682861,20987.1433066415
48,South Baltimore,15.90909,5,7.8947,11.2676,7.947,7.2727,7.2727,5.7803468,5.0632911392405,46353935.4257813,68440.0258267645
49,Southeastern,6.906077,13.841808,5.638,4.9046,4.4917,7.0362,7.045,11.741683,17.5,111251478.473084,102291.480547452
50,Southern Park Heights,14.40281,19.084967,18.1477,16.5904,23.2584,24.9455,22.7129,27.636364,36.5986394557823,27876227.5906372,24052.2213722085
51,Southwest Baltimore,14.91281,22.027717,17.1063,16.7155,19.4767,21.1388,17.151,23.643725,31.0068649885583,37766068.8372192,28355.5635813649
52,The Waverlies,10.53763,20.436508,13.617,17.3423,13.3333,15.6716,14.5315,16.985646,23.9892183288409,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,8.342481,20.42007,17.5556,19.526,17.2494,24.5516,24.8581,26.218709,34.7763347763347,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,12.58503,17.363344,14.3695,13.2075,15.5807,19.0909,19.692308,16.030534,33.3333333333333,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,13.62725,17.51938,10.9677,16.5884,15.2593,14.022663,13.549337,16.875,17.5115207373271,45494092.9492188,42573.1244161893
