No internet,Businesses,% AA,CSA2010
4.708584554,20.9178894786137,2.389582494,South Baltimore
6.382428941,25.0617283950617,4.982422112,Canton
7.945082152,34.0745657705498,6.281379003,Fells Point
3.963221306,34.5668971126474,6.779199564,Greater Roland Park/Poplar Hill
14.92281304,32.1379310344827,7.875799574,Highlandtown
21.49446494,45.55908443763,8.958742633,Orangeville/East Highlandtown
9.635782748,33.5288704853922,10.28999634,Medfield/Hampden/Woodberry/Remington
7.514539333,38.3508362504861,12.30036855,Inner Harbor/Federal Hill
8.52966466,9.67704993128722,15.38024326,North Baltimore/Guilford/Homeland
16.64022213,7.97913150222495,20.65627079,Cross-Country/Cheswolde
27.91285128,28.2240071396697,27.78414153,Morrell Park/Violetville
10.24765158,31.9272445820433,27.92584009,Mount Washington/Coldspring
23.83303411,38.4984025559105,29.36791427,Southeastern
14.27667984,39.4728814593374,32.54231052,Greater Charles Village/Barclay
12.42858683,45.0732356857523,34.03419886,Midtown
34.65996064,12.427157200028,34.72124756,Brooklyn/Curtis Bay/Hawkins Point
12.71766778,6.1172589181387,35.32030484,Patterson Park North & East
7.974443919,325.628296618057,37.73758029,Downtown/Seton Hill
14.74275832,27.4395784117753,55.70928488,Washington Village/Pigtown
17.33149931,53.0793415942297,56.02060528,Harbor East/Little Italy
25.46938776,11.5417324747904,56.49274225,Claremont/Armistead
8.767185035,10.9182758901654,56.68545291,Lauraville
12.63794407,7.60140150840311,57.52130419,Harford/Echodale
12.45383668,20.9198584833102,58.87864942,Hamilton
25.12077295,14.8897317038909,64.79163366,Westport/Mount Winans/Lakeland
27.36182519,23.6690358052836,64.93843163,Glen-Fallstaff
10.20408163,21.0159876224858,67.09820387,Chinquapin Park/Belvedere
19.84423676,17.6705791306591,69.71458091,The Waverlies
30.25512037,13.3631534805703,73.87119695,Southwest Baltimore
25.33705253,21.0381439244986,77.07648026,Poppleton/The Terraces/Hollins Market
21.2577669,6.11545988258317,77.98957442,Beechfield/Ten Hills/West Hills
16.72330531,4.86691101363936,81.45120082,Northwood
16.43865364,8.53249564885172,83.59613739,Cedonia/Frankford
17.4579377,8.03858520900321,83.99701201,Belair-Edison
27.04294479,15.6185353744311,84.76602762,Penn North/Reservoir Hill
28.20512821,3.41380151182638,85.12269939,Dickeyville/Franklintown
32.56206315,100.688554036523,85.62806874,Oldtown/Middle East
17.84059314,15.6792186094332,86.10156043,Madison/East End
19.78793309,10.7112533472666,86.56458227,Loch Raven
29.61373391,11.0948549134357,88.39212947,Cherry Hill
19.95916284,9.73691601909933,88.73895277,Greater Govans
24.8674619,7.21465129185422,89.07257292,Allendale/Irvington/S. Hilton
34.10970832,8.130081300813,89.97451824,Southern Park Heights
32.26329442,11.3429208021065,90.81392614,Clifton-Berea
31.59549384,16.0510539547476,91.86895811,Upton/Druid Heights
28.28571429,11.9562218339004,92.52180041,Howard Park/West Arlington
35.08711992,11.3258520365752,93.26335217,Midway/Coldstream
25.36728697,9.84871560564524,93.32894242,Forest Park/Walbrook
36.98736136,28.0128639133378,93.62388184,Pimlico/Arlington/Hilltop
32.94670846,12.3364084960308,93.66080319,Greater Mondawmin
27.5606469,8.99372136433056,93.82050025,Dorchester/Ashburton
35.16174402,9.28641251221896,94.06892867,Greenmount East
38.84334146,6.78034371643394,94.86550499,Sandtown-Winchester/Harlem Park
27.1393643,5.56962025316455,96.87034277,Edmondson Village
37.52695902,8.72319435069318,97.3168963,Greater Rosemont
